SAMPLE ID,RAINFALL,PRESSURE ,TEMPERATURE,DEWPOINT,HUMIDITY,CLOUD ,SUNSHINE,         WIND DIRECTION,WIND SPEED
125,1,1011.4,78.44,23.4,87,82,2.7,40.0,9.2
126,0,1010.5,82.58,25.1,84,85,2.0,180.0,15.4
127,0,1009.9,83.12,25.3,83,84,2.9,190.0,15.5
128,0,1010.6,83.66,25.1,81,69,4.7,170.0,12.1
129,0,1011.4,83.66,25.2,82,80,3.8,150.0,9.5
130,0,1010.1,83.66,25.0,81,69,3.9,170.0,16.3
131,1,1008.1,79.88,24.3,87,84,0.3,220.0,12.0
132,0,1008.6,77.9,20.6,75,62,8.8,80.0,26.0
133,1,1009.8,77.18,21.4,80,78,5.0,70.0,28.6
134,1,1012.4,77.9,22.2,82,88,1.2,50.0,24.9
135,1,1014.2,77.72,23.4,89,86,2.8,70.0,28.3
136,1,1012.1,79.88,23.7,85,75,7.7,50.0,15.7
137,1,1011.2,76.64,19.4,73,69,7.2,10.0,21.9
138,1,1012.3,74.66,20.1,80,86,0.3,80.0,39.5
139,0,1012.0,76.1,19.9,76,79,4.8,70.0,30.3
140,1,1009.9,77.9,22.5,84,85,3.5,70.0,26.4
141,1,1006.9,77.36,24.2,94,88,0.1,40.0,22.3
142,1,1005.9,79.7,24.3,88,77,1.9,230.0,25.9
143,0,1007.8,80.96,22.7,77,63,5.6,20.0,11.3
144,1,1008.4,80.24000000000001,23.2,81,65,6.4,20.0,7.9
145,1,1007.9,81.5,24.1,82,61,7.6,180.0,7.4
146,1,1007.8,82.4,24.7,82,62,8.8,100.0,16.2
147,1,1007.6,81.68,24.8,85,84,1.8,70.0,34.8
148,1,1006.4,81.5,25.5,89,88,1.2,130.0,32.5
149,1,1007.6,81.86,25.6,89,89,1.2,200.0,24.0
150,1,1007.9,84.38000000000001,26.1,84,77,3.6,210.0,19.0
151,1,1008.8,85.64,26.0,80,73,9.8,220.0,22.8
152,0,1009.5,85.82,25.7,79,72,7.0,220.0,25.2
153,0,1007.8,86.18,26.2,80,73,7.2,230.0,31.7
154,0,1006.0,86.53999999999999,26.3,79,58,10.0,230.0,27.4
155,1,1006.5,86.53999999999999,26.5,80,77,5.2,220.0,28.8
156,1,1007.9,83.66,25.4,83,75,5.5,220.0,20.8
157,1,1008.8,80.42,24.3,86,87,0.7,20.0,9.8
158,1,1008.8,79.16,24.7,91,80,2.2,20.0,11.2
159,1,1008.1,82.58,25.4,86,75,5.7,20.0,9.5
160,1,1006.3,80.78,25.1,89,85,3.1,190.0,12.6
161,1,1005.7,82.75999999999999,25.7,86,79,6.5,,
162,1,1005.7,82.22,25.8,89,80,4.5,220.0,14.6
163,1,1005.9,79.88,25.4,93,85,0.0,230.0,20.0
164,1,1005.7,80.78,25.8,93,96,0.0,220.0,29.8
165,1,1005.0,85.46000000000001,26.7,84,90,1.3,220.0,24.3
166,1,1004.2,86.36,26.6,81,88,2.4,220.0,30.0
167,1,1005.3,86.53999999999999,26.3,79,86,1.6,210.0,29.3
168,1,1006.7,84.91999999999999,25.9,82,88,1.6,230.0,23.2
169,1,1008.2,84.91999999999999,25.9,82,85,7.2,220.0,12.8
170,1,1010.5,84.74,26.0,83,81,2.3,200.0,19.8
171,0,1010.3,86.18,26.1,80,41,12.0,130.0,12.4
172,1,1008.5,87.44,26.3,78,59,9.1,170.0,12.1
173,0,1009.3,87.08000000000001,25.6,75,51,10.0,200.0,12.6
174,0,1009.5,86.9,25.3,75,32,9.3,220.0,10.9
175,0,1008.4,86.72,24.7,72,20,11.4,210.0,9.6
176,0,1008.1,87.8,25.0,72,38,11.2,180.0,9.0
177,0,1008.9,88.52,26.1,74,39,10.6,150.0,9.1
178,1,1009.1,88.34,26.3,75,57,9.9,160.0,11.9
179,1,1007.5,87.98,26.7,78,61,8.6,60.0,15.7
180,1,1007.5,84.38000000000001,26.3,85,83,4.2,220.0,26.1
181,1,1010.0,84.2,26.7,87,79,3.9,160.0,23.4
182,1,1010.3,86.0,26.0,80,83,6.3,190.0,24.4
183,1,1008.9,86.18,26.0,79,78,5.3,190.0,21.9
184,1,1009.1,84.91999999999999,26.0,82,86,2.7,200.0,21.9
185,1,1008.7,84.91999999999999,25.8,82,84,1.8,190.0,25.1
186,1,1006.6,86.18,25.9,78,83,6.8,180.0,33.0
187,1,1007.5,84.2,26.5,87,88,5.4,130.0,22.5
188,1,1008.4,81.14,26.0,93,88,0.5,130.0,24.8
189,1,1005.9,86.36,25.6,77,53,10.5,270.0,11.3
190,0,1001.0,87.8,25.9,75,46,10.4,280.0,23.5
191,1,999.0,88.7,26.4,75,57,10.0,280.0,25.0
192,1,1000.3,83.48,25.0,81,88,2.5,240.0,18.8
193,1,1002.2,84.02,26.1,85,89,2.4,240.0,19.8
194,1,1003.8,82.58,25.1,84,88,0.0,230.0,16.3
195,1,1005.0,83.48,26.1,87,82,2.2,160.0,12.6
196,1,1006.8,84.02,26.2,86,83,0.2,230.0,14.3
197,1,1007.0,86.36,26.4,81,78,6.2,230.0,22.4
198,1,1008.1,87.08000000000001,26.4,79,69,8.5,240.0,25.1
199,0,1008.5,87.08000000000001,26.2,78,69,9.2,230.0,23.7
200,1,1007.5,86.72,25.3,74,72,10.1,230.0,23.7
201,1,1007.9,85.82,25.8,79,78,4.1,220.0,25.1
202,1,1009.8,84.56,25.6,82,70,6.4,220.0,22.6
203,1,1010.9,86.0,25.3,76,49,8.8,220.0,12.3
204,0,1010.3,86.0,25.2,76,29,11.4,240.0,14.5
205,0,1008.9,86.0,25.4,77,32,11.9,250.0,21.6
206,0,1008.4,86.72,24.6,72,21,12.1,240.0,16.0
207,0,1008.6,87.44,25.5,74,28,11.0,130.0,8.3
208,1,1008.3,84.91999999999999,26.4,84,57,7.4,60.0,17.5
209,1,1009.3,86.36,25.3,76,44,10.1,200.0,9.5
210,0,1009.7,86.18,24.8,74,29,11.8,240.0,12.8
211,0,1008.5,86.53999999999999,24.9,74,32,11.8,260.0,21.9
212,1,1006.6,85.82,24.7,74,49,6.3,270.0,16.1
213,1,1005.1,86.18,24.9,74,47,10.4,50.0,14.1
214,0,1011.2,84.02,24.6,78,69,10.7,20.0,11.8
215,0,1011.6,84.02,24.5,78,54,11.4,100.0,9.8
216,0,1010.6,85.1,24.5,75,38,10.3,20.0,5.5
217,0,1008.3,84.91999999999999,24.1,74,29,5.7,10.0,4.4
218,0,1006.1,85.28,24.4,74,27,10.8,220.0,8.7
219,0,1005.3,86.18,24.2,72,29,10.6,220.0,6.1
220,0,1003.4,87.26,24.9,72,40,10.0,290.0,10.9
221,0,998.5,90.32,24.0,62,55,10.8,290.0,17.2
222,1,998.5,87.8,24.8,71,80,10.0,220.0,26.4
223,1,1004.5,82.58,25.2,85,88,0.6,230.0,20.2
224,1,1007.3,84.56,25.4,81,77,6.5,220.0,13.9
225,1,1007.9,86.0,25.8,79,78,9.1,220.0,11.9
226,1,1007.9,82.4,25.6,87,84,0.1,230.0,22.9
227,1,1007.4,80.42,25.1,90,88,0.2,210.0,12.9
228,1,1008.5,80.6,25.0,89,88,0.3,220.0,14.2
229,1,1008.5,84.56,26.5,86,88,0.2,230.0,18.0
230,1,1008.2,85.82,26.6,83,81,8.4,230.0,20.5
231,1,1008.0,86.36,25.8,78,67,10.2,220.0,18.1
232,0,1007.7,86.18,25.7,77,59,10.4,230.0,16.6
233,1,1006.3,84.38000000000001,26.1,84,67,5.0,270.0,6.9
234,0,1002.2,86.0,25.5,77,70,7.7,350.0,13.6
235,1,1000.1,86.36,24.4,71,48,6.1,10.0,12.0
236,1,1000.0,87.08000000000001,24.2,69,30,7.6,220.0,11.7
237,0,1002.4,87.26,24.3,70,48,7.8,10.0,11.0
238,0,1005.5,87.08000000000001,23.2,65,22,9.1,10.0,10.7
239,1,1008.1,84.02,25.3,81,78,1.1,40.0,16.4
240,0,1008.1,84.2,25.0,79,75,6.7,200.0,12.0
241,1,1006.5,82.94,24.4,79,84,4.5,210.0,8.9
242,1,1006.2,82.04,24.8,84,87,3.1,230.0,11.0
243,1,1006.8,79.88,25.2,92,88,0.0,220.0,5.9
244,1,1007.4,81.32,25.0,87,88,0.9,40.0,5.7
245,1,1007.8,81.32,25.4,89,87,0.4,50.0,8.6
246,1,1010.9,78.44,24.8,94,88,0.0,110.0,16.5
247,1,1013.0,81.68,25.8,90,87,0.7,60.0,18.2
248,0,1013.1,84.38000000000001,25.7,82,60,8.7,80.0,9.8
249,0,1011.1,84.74,24.8,78,38,11.0,220.0,11.7
250,0,1008.1,85.28,25.6,79,43,9.7,240.0,24.9
251,1,1007.2,82.94,25.9,87,82,0.5,250.0,21.3
252,0,1009.4,82.22,23.1,75,60,8.3,60.0,29.0
253,1,1012.0,82.75999999999999,23.0,74,44,10.1,70.0,26.2
254,0,1012.7,82.58,23.2,75,47,7.9,60.0,24.5
255,1,1011.1,82.58,23.7,77,46,8.4,100.0,21.4
256,1,1011.5,82.22,23.2,76,66,6.7,90.0,22.6
257,0,1013.0,82.4,21.4,68,49,9.2,50.0,39.9
258,0,1012.2,82.4,22.1,71,46,9.3,60.0,41.3
259,0,1011.3,83.48,23.1,73,60,9.0,70.0,39.5
260,1,1011.9,82.58,24.5,81,86,2.1,70.0,32.2
261,1,1014.6,82.75999999999999,24.2,79,72,7.1,70.0,27.4
262,1,1015.0,83.3,24.0,77,47,8.6,70.0,14.5
263,0,1012.2,82.94,24.3,79,67,3.8,180.0,8.1
264,1,1009.3,83.66,24.5,78,74,7.7,200.0,14.5
265,1,1008.6,81.32,23.8,81,88,0.4,190.0,11.9
266,1,1009.9,82.58,25.5,86,67,8.8,110.0,14.8
267,1,1009.1,84.02,25.3,81,40,6.8,110.0,10.2
268,0,1006.7,84.74,24.7,77,23,11.1,230.0,17.3
269,0,1004.9,85.46000000000001,25.3,78,38,11.0,230.0,20.5
270,1,1006.7,83.66,26.3,87,71,4.7,90.0,14.0
271,1,1008.2,82.04,25.0,85,81,2.5,90.0,15.1
272,0,1006.7,84.2,20.6,61,30,11.1,10.0,16.4
273,0,1005.6,85.46000000000001,20.0,56,53,10.4,230.0,15.5
274,1,1011.0,85.64,24.8,75,78,8.5,140.0,12.7
275,1,1013.0,83.84,25.3,81,84,2.9,30.0,7.9
276,1,1012.4,82.22,23.1,76,82,4.2,10.0,30.6
277,1,1011.7,80.24000000000001,23.7,83,88,1.6,60.0,52.8
278,1,1013.2,80.06,25.2,92,95,0.0,120.0,50.7
279,1,1015.2,80.06,25.4,93,88,0.9,100.0,37.0
280,1,1014.1,78.8,25.4,97,86,0.4,100.0,30.4
281,1,1012.7,79.52,25.0,92,85,0.7,140.0,12.5
282,0,1010.5,82.04,23.1,76,54,10.6,300.0,13.0
283,1,1011.3,80.24000000000001,20.9,70,45,7.1,20.0,20.4
284,1,1013.7,75.74000000000001,19.9,77,85,0.6,20.0,30.2
285,1,1018.0,68.9,16.6,78,88,0.0,20.0,38.3
286,1,1019.0,73.58,16.8,67,88,0.0,50.0,28.2
287,1,1018.7,77.18,19.1,70,68,10.5,70.0,32.4
288,0,1017.4,77.0,20.1,75,51,7.4,70.0,23.9
289,0,1015.2,77.36,20.7,76,19,9.1,90.0,14.1
290,0,1013.8,78.44,20.4,73,20,10.5,30.0,9.9
291,0,1013.4,79.16,19.5,69,17,10.5,70.0,12.4
292,0,1012.5,77.9,19.3,70,43,9.7,60.0,8.9
293,0,1010.2,77.54,16.7,59,79,4.4,20.0,17.3
294,0,1008.3,79.16,17.3,58,78,7.5,10.0,17.2
295,1,1010.2,79.52,19.3,65,64,6.4,10.0,13.2
296,0,1012.0,80.6,20.9,70,48,7.8,120.0,9.2
297,0,1013.0,80.6,21.6,73,50,8.3,80.0,9.9
298,1,1015.0,80.24000000000001,22.1,76,61,8.2,80.0,19.7
299,1,1016.8,78.62,21.7,77,77,3.0,80.0,37.5
300,1,1016.8,77.72,22.3,83,81,0.8,80.0,28.9
301,0,1015.6,79.7,22.1,77,48,9.5,60.0,10.3
302,1,1017.0,80.06,23.3,82,46,9.5,110.0,15.8
303,1,1018.2,79.52,22.9,81,61,7.0,90.0,24.2
304,0,1017.8,80.06,23.1,81,53,8.4,100.0,16.5
305,1,1020.4,78.08,21.6,79,66,5.3,80.0,40.8
306,0,1020.9,73.22,17.8,73,61,4.3,20.0,29.6
307,1,1019.8,72.68,16.0,67,72,7.5,20.0,22.5
308,1,1019.5,74.66,18.8,74,82,2.4,70.0,32.9
309,1,1018.1,76.46,20.4,77,83,3.0,80.0,29.8
310,1,1016.1,78.44,22.0,80,82,6.5,70.0,28.3
311,1,1015.6,77.9,22.4,83,81,0.5,80.0,30.2
312,1,1016.3,79.16,23.4,85,87,3.4,80.0,24.8
313,1,1016.4,79.7,23.6,84,70,5.9,70.0,18.0
314,1,1015.8,80.06,23.3,82,58,7.7,50.0,12.8
315,1,1016.9,76.82,21.4,81,88,1.1,80.0,46.3
316,1,1017.7,74.84,20.6,82,85,2.6,80.0,43.8
317,1,1017.3,75.02,21.1,84,88,0.0,80.0,41.4
318,1,1015.2,73.94,22.1,92,86,0.3,80.0,29.7
319,1,1014.5,75.74000000000001,21.2,83,74,5.5,30.0,13.8
320,1,1015.2,75.56,22.3,89,84,0.1,80.0,35.8
321,1,1013.7,76.64,23.5,93,74,2.3,80.0,25.5
322,0,1013.9,77.9,23.8,90,51,7.0,80.0,17.2
323,0,1016.0,78.98,23.2,84,20,8.2,80.0,7.9
324,1,1017.0,78.62,22.9,84,58,5.9,70.0,22.1
325,1,1017.2,76.64,21.6,82,73,1.1,80.0,30.6
326,0,1017.0,76.64,21.1,80,83,0.4,70.0,40.4
327,1,1017.1,77.72,21.3,78,65,8.3,80.0,29.2
328,0,1016.7,77.72,21.2,78,47,7.7,90.0,19.6
329,1,1016.7,76.1,19.8,76,35,9.8,70.0,31.2
330,0,1017.7,72.68,16.8,70,44,6.9,20.0,28.6
331,0,1020.6,64.75999999999999,7.8,52,46,3.5,20.0,34.3
332,0,1022.4,65.12,9.7,57,44,8.6,60.0,39.3
333,0,1022.5,69.44,15.0,70,49,8.6,70.0,34.0
334,0,1021.2,71.78,17.4,75,40,8.8,60.0,16.0
335,1,1018.9,72.32,17.7,75,56,6.0,100.0,15.7
336,0,1017.6,73.22,19.0,79,85,2.0,70.0,25.0
337,1,1017.1,73.94,19.6,80,69,6.3,70.0,15.9
338,1,1019.4,69.44,16.5,77,93,0.0,20.0,27.9
339,1,1021.1,67.1,14.9,75,88,0.6,50.0,37.9
340,1,1018.4,65.12,15.8,85,91,0.1,70.0,41.3
341,1,1021.3,61.88,12.2,76,91,0.1,10.0,28.4
342,0,1023.1,63.14,12.1,72,86,0.9,10.0,21.8
343,1,1022.2,64.4,14.1,78,90,0.0,30.0,28.5
344,1,1016.8,63.86,16.8,95,95,0.0,60.0,35.1
345,1,1015.5,66.74000000000001,16.8,86,80,5.1,20.0,10.2
346,0,1016.4,67.82,15.5,76,72,6.3,60.0,20.7
347,0,1016.2,68.0,17.1,83,88,0.2,70.0,39.5
348,1,1016.4,68.72,17.8,85,83,0.0,70.0,30.3
349,1,1016.6,68.72,17.3,82,84,0.4,50.0,20.3
350,1,1019.0,65.12,12.6,69,70,2.2,10.0,26.8
351,0,1022.5,59.36,4.3,49,11,9.3,10.0,48.0
352,0,1025.9,55.76,-0.4,39,25,9.1,20.0,35.6
353,0,1026.4,57.02,3.1,48,11,9.5,40.0,25.2
354,0,1025.4,61.16,8.7,62,71,2.1,30.0,29.0
355,1,1022.5,63.68,12.9,75,88,0.0,40.0,19.0
356,1,1021.3,66.92,16.2,82,87,1.6,50.0,22.5
357,1,1020.3,67.82,17.6,87,88,0.3,60.0,27.3
358,1,1017.8,69.98,19.6,91,79,0.0,40.0,15.0
359,1,1016.8,72.14,20.7,91,70,6.0,40.0,9.4
360,1,1020.4,64.75999999999999,13.5,75,89,0.7,10.0,27.6
361,0,1020.6,64.22,13.3,74,87,0.6,30.0,21.6
362,1,1022.7,63.86,15.0,84,90,0.0,30.0,18.4
363,1,1026.6,63.14,12.8,75,85,1.0,20.0,25.9
364,1,1025.9,63.86,13.3,75,78,4.6,70.0,33.4
365,1,1025.3,63.14,13.3,78,86,1.2,20.0,20.9
366,0,1026.4,64.04,13.0,74,66,5.7,20.0,23.3
